SMILES,value
COc1ccc(C)cc1NC(=S)NCCc1cc2cc(C)c(C)cc2[nH]c1=O,4.78761
CCCCCCC[C@@H](O)c1cccc(CN2CCC(COc3cccc(/C(=N\OC)c4ccc(Cl)cc4)c3)CC2)c1,5.28572
CC(C)CCO[C@H]1O[C@H](COC(=O)C(C)(C)C)C(=O)[C@@H]2O[C@H]12,4.40054
Cc1cccc(Oc2nc(-c3ccc(NC(=S)Nc4ccccc4)cc3)nc3ccccc23)c1,3.66517
Cc1cc(NC(=O)CSc2nc(C(C)C)nc3sc4c(c23)CCCC4)no1,4.95148
C=CCOC(=O)C1=C(C)NC(SCC(=O)Nc2nccs2)=C(C#N)C1c1ccc(Cl)cc1,3.78465
Cc1ccc(C(C)C)c(OCCn2c(CO)nc3ccccc32)c1,4.89069
CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3[C@@H]2C[C@@H]2F)CC1CN,5.91102
Cc1[nH]c(-c2cccc(C(F)(F)F)c2)nc1-c1cccc(C(F)(F)F)c1,4.85387
COc1ccc2sc(Nc3nnc(C4COc5ccccc5O4)o3)nc2c1,5.03968
Nc1ccc(/C=C/C(=O)Nc2nnc(-c3ccccc3)[nH]2)cc1,4.68825
NC(=O)c1c(NC(=O)c2ccc([N+](=O)[O-])o2)sc2c1CCCCC2,6.0118
COc1cc(/C=N/NC(=O)c2ccncc2)cc(I)c1OC,6.31292
CN1CCC(CNc2cc(Nc3cc(C4CC4)[nH]n3)nc(-c3cccc(C#N)c3)n2)CC1,4.50864
CC(C)(C)n1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCC(n4c(=O)[nH]c5cc(Cl)ccc54)CC3)nc21,5.54061
COc1ccc([C@@H]2[C@H]3CSCN3[C@]3(C(=O)Nc4ccc([N+](=O)[O-])cc43)[C@@]23C(=O)Oc2ccccc23)cc1,4.31432
CCc1ccc(Oc2coc3cc(OC(C)C(=O)OC)ccc3c2=O)cc1,5.02697
C[C@H](c1ccccc1)N1CCC(=O)[C@]2(C1)ON=C(c1ccc(Cl)cc1)[C@H]2c1cccc2ccccc12,4.59774
