SMILES,value
COC(=O)c1cccc(OC(N)=O)c1,4.13728
CC[C@H](CO)NCc1ccccc1O,4.59159
S=c1[nH]nc(-c2ccncc2)s1,6.69897
ClCc1nnc(-c2ccncc2)o1,4.3869
COc1cc(C(=O)CCO)ccc1O,3.81531
Cc1cc(C)c2[nH]c3ccccc3c2n1,4.96361
C=C/C=C/C1(C)SC(=O)C(C)=C1O,3.0
COC(=O)/C=C/n1ccnc1[N+](=O)[O-],4.30434
O=c1oc(-c2ccc(F)cc2)ns1,4.09076
O=C1CC(Sc2cccc(F)c2)N1,3.29497
O=C1CC(Sc2ccccc2F)N1,3.89703
CC(=O)/C=C/c1ccc2ccccc2n1,5.24764
O=c1nc(-c2cnccn2)ss1,3.94035
CC1(C)[C@H]2CC[C@](C)(C2)[C@]1(O)CCN,4.81816
COc1cc(C(=O)O)cc(OC)c1O,3.49757
O=C1C=C[C@@H](OCC2CC2)O[C@@H]1CO,3.8992
Cc1ccc(Nc2ccccc2N)cc1,5.83684
CC1(CO)Cn2cc([N+](=O)[O-])nc2O1,4.36571
CCC(=O)Nc1ccc2ccccc2c1,4.3321
Cc1ccc(-c2nsc(=O)o2)s1,4.24579
CO[C@@H]1C=CC(=O)[C@@H](COC(C)=O)O1,4.50556
CC(C)(C)O[C@@H]1C=CC(=O)[C@@H](CO)O1,3.90359
CC(C)CO[C@@H]1C=CC(=O)[C@@H](CO)O1,4.20462
Sc1nc2c(ccc3ccccc32)[nH]1,4.62525
CCCCCCCCCCCC(=O)O,4.20412
CCCCCCCCCCNCCN,3.6038
c1ccc(CSc2ccncc2)cc1,3.90309
CCCCCCCCCCC(O)CN,4.82391
CCCCCCCCCCNCCO,3.60555
O=C(c1coc2ccc(O)cc12)C1CC1,4.5612
COc1cc(C)cc2c1C(=O)C=CC2=O,4.49999
CC(=O)Nc1ccc2cccc(O)c2n1,5.27318
CC(C)c1cc(NC(=O)CCl)on1,4.86331
COC1=CC(=O)c2cccc(O)c2C1=O,4.81516
COC1=CC(=O)c2c(O)cccc2C1=O,3.83289
Cc1cc(O)c2c(c1)C(=O)C(O)=CC2=O,4.49997
CC1CC(C)(C)Nc2ccc(N=O)cc21,5.24011
CC[C@@H](CO)NCCN[C@@H](CC)CO,6.10902
O=C(Nc1nccs1)c1ccccn1,5.21553
CC[C@@H](CO)N1Cc2ccccc2C1=O,6.01323
CNc1nc(SC)nc2ccccc12,6.69897
Nc1cnc(-c2ccccc2)nc1Cl,5.13853
Cc1cc(O)c2c(c1F)C(=O)C=CC2=O,4.49999
CCNc1n[n+]([O-])c2ccccc2[n+]1[O-],5.65225
CCCC1CC(=O)c2ccc(O)cc2O1,3.01334
CCOC(=O)/C=C/c1ccc(OC)cc1,3.61618
O=C(O)CCNc1[nH]cnc2ncnc1-2,4.21946
CCOC(=O)c1nc2ccccc2s1,3.91854
O=C1CC(Oc2ccc([N+](=O)[O-])cc2)N1,3.92048
Cc1ccc(NC(=O)CC[N+](=O)[O-])cc1,3.92058
CCCCCC(=O)c1ccc(O)cc1O,4.19878
CCCC1CC(O)c2ccc(O)cc2O1,4.22168
Cc1ccnc(NC(=O)CC[N+](=O)[O-])c1,3.92263
COc1cccc(-c2nsc(=O)o2)c1,4.267
CC[C@@H](CO)NC(=O)c1ccccc1O,6.01773
c1ccc(C2=Nc3ccccc3OC2)cc1,5.32523
COc1ccc(SC2CC(=O)N2)cc1,3.3207
COc1ccccc1SC1CC(=O)N1,2.92276
Cc1ccccc1-c1nc(=O)ss1,3.96611
O=C1c2c(O)cccc2[C@H](O)[C@H](O)[C@H]1O,3.02123
CC1=Nc2c(ccc3cccnc23)C1(C)C,5.99645
Nc1ccc(-c2nc(=O)ss2)cc1,3.96815
C=C/C(C)=C/C1(C)SC(O)=C(C)C1=O,3.90309
Nc1scc(-c2ccncc2)c1Cl,5.27376
CC[C@H](COC(C)=O)N1C(=O)C=CC1=O,4.6258
Cc1c2c(nc3ccccc13)CCC(C)C2,4.78065
CNc1nc(SC)nc2ccsc12,5.32096
CN(C)CC1CC(C(C)(C)C)CCC1=O,4.73337
O=C(CC[N+](=O)[O-])Nc1ccc(F)cc1,4.0793
[O-][n+]1c2ccccc2[n+]([O-])c2ccccc21,4.91851
Nc1cc2nc3ccccc3oc-2cc1=O,6.43415
Nc1nnc2c3ccccc3ccc2[n+]1[O-],3.99797
CCn1c(-c2ccco2)nc2ccccc21,4.60003
c1ccc2c(-c3cncnc3)csc2c1,5.15058
c1ccc2sc(-c3cncnc3)cc2c1,4.22996
CC1=C(O)C(C)(CC2CCC2)SC1=O,3.0
O=C(Nc1ccccc1)c1ccccc1O,4.10034
COc1ccc(-c2cc(CC#N)n[nH]2)cc1,3.69897
c1cc2[nH]c3c(c2c2nonc12)CCCC3,4.24482
O=c1nc(-c2ccc(F)cc2)ss1,3.97426
c1ccc2nc(N3CCCCC3)ncc2c1,3.32883
CCCCCCCCCCCCCCN,3.85387
COc1ccc(Cl)cc1/C=C/[N+](=O)[O-],4.28193
O=c1oc(-c2ccc(Cl)cc2)ns1,4.27608
O=c1oc(-c2ccccc2Cl)ns1,4.42659
Oc1c(Cl)cc(Cl)c2cccnc12,6.10846
CC1CC2=C(O1)c1ccccc1C(=O)C2=O,4.83863
C=CCC1=C(O)C(=O)c2ccccc2C1=O,3.53134
CC(C)CCO[C@@H]1C=CC(=O)[C@@H](CO)O1,4.53506
Oc1cc(O)cc(CCc2ccccc2)c1,3.93256
COc1ccc(Nc2ccccc2N)cc1,5.97757
CC[C@H](C)CC1(C)SC(O)=C(C)C1=O,3.30103
CCCCCC1(C)SC(O)=C(C)C1=O,3.30103
CCCCCCCCCCNCCCN,3.93554
O=c1oc(-c2cccnc2Cl)ns1,4.4286
FC(F)(F)c1nnc(-c2ccncc2)o1,4.42934
O=C1CC(Sc2ccc(F)cc2F)N1,4.83734
O=C1CC(Sc2ccc(F)c(F)c2)N1,3.63391
