SMILES,value
NC(=O)c1cc2ccc(CC(=O)c3cccs3)cc2s1,5.42022
CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccccc2O)c(=O)c2ccc(C)nc21,5.24975
CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3ccc(O)cc3)c(=O)n2C1c1cccs1,5.05804
O=[N+]([O-])c1ccc(CSc2nc3ccccc3s2)c([N+](=O)[O-])c1,5.54846
O=C(NNc1nc(N2CCCCC2)nc(N2CCc3ccccc3C2)n1)c1ccncc1,5.13982
COc1ccc2c(c1)[n+]([O-])c(C#N)c(NC(=O)c1cccs1)[n+]2[O-],3.84505
O=C(OCc1ccccc1)c1coc(-c2ccccc2P(=O)(c2ccccc2)c2ccccc2)n1,4.21007
COc1ccc(-c2c(C(F)(F)F)oc3cc(OCC(=O)OC(C)C)ccc3c2=O)cc1,5.71897
CCC(C(=O)OC(C)C)n1cnc2sc(C(=O)Nc3ccccc3OC)c(C)c2c1=O,4.0
CCOc1cc(-c2nnc(NC(=O)c3ccccc3SC)o2)cc(OCC)c1OCC,5.26376
CCC(=O)c1ccc(OCC(O)CN2CCN(c3ccc(C)c(C)c3)CC2)cc1,4.3463
O=C(Nc1nc2ccc(F)cc2s1)c1ccc([N+](=O)[O-])o1,4.55003
O=C(OCc1ccccc1)c1coc(-c2cnccn2)n1,4.89165
O=C(c1ccc(CNc2c(N3CCCC3)c(=O)c2=O)cc1)N1CC=C(c2ccccc2)CC1,4.58138
COc1cccc(C(=O)Nc2nnc(-c3cc(C)ccc3C)o2)c1,4.84975
CCc1cccc2sc(N(CCCn3ccnc3)C(=O)c3cccs3)nc12,6.29724
CCOC(=O)c1ccc(N/C=C/C(=O)c2ccc(OC)c(OC)c2)cc1,5.46369
Cc1ccc(C)c(Oc2coc3cc(OCC(=O)OC4CCCCC4)ccc3c2=O)c1,6.17134
COc1ccc2[nH]c(/C(C#N)=C\c3ccco3)nc2c1,4.1138
